episode_id,Agent1_DQN_score,Agent1_DQN_points_won,Agent2_Baseline_score,Agent2_Baseline_points_won,Agent3_Baseline_score,Agent3_Baseline_points_won,Agent4_Baseline_score,Agent4_Baseline_points_won,Agent1_DQN_epsilon_start_episode,Agent1_DQN_epsilon_end_episode,Agent1_DQN_total_steps_end_episode
0,1,1,-1,0,-1,0,-1,0,1.0,0.9270506367921634,5057
1,-1,0,-1,0,1,1,-1,0,0.9270506367921634,0.8774645022325326,8727
2,-1,0,-1,0,-1,0,1,1,0.8774645022325326,0.8168606009338493,13505
3,-1,0,1,1,-1,0,-1,0,0.8168606009338493,0.7551416732514341,18750
4,-1,0,-1,0,1,1,-1,0,0.7551416732514341,0.7276921787821244,21222
5,-1,0,-1,0,-1,0,1,1,0.7276921787821244,0.6744559439958535,26294
6,-1,0,-1,0,-1,0,1,1,0.6744559439958535,0.6148069231404646,32476
7,-1,0,-1,0,1,1,-1,0,0.6148069231404646,0.5636154100485415,38280
8,-1,0,-1,0,-1,0,1,1,0.5636154100485415,0.5300517211587885,42379
9,-1,0,-1,0,-1,0,1,1,0.5300517211587885,0.47450269737772305,49770
10,-1,0,1,1,-1,0,-1,0,0.47450269737772305,0.43811917055519217,55096
11,1,1,-1,0,-1,0,-1,0,0.43811917055519217,0.3925690098722808,62425
12,-1,0,1,1,-1,0,-1,0,0.3925690098722808,0.3582416292620768,68534
13,1,1,-1,0,-1,0,-1,0,0.3582416292620768,0.3308321325431597,73848
14,1,1,-1,0,-1,0,-1,0,0.3308321325431597,0.3067394872805272,78896
15,1,1,-1,0,-1,0,-1,0,0.3067394872805272,0.2674971268336153,88035
16,-1,0,-1,0,-1,0,1,1,0.2674971268336153,0.2550658171445801,91212
17,-1,0,-1,0,-1,0,1,1,0.2550658171445801,0.23224669195485917,97469
18,-1,0,-1,0,1,1,-1,0,0.23224669195485917,0.21671513299339795,102090
19,-1,0,-1,0,-1,0,1,1,0.21671513299339795,0.20543093995900757,105660
20,-1,0,-1,0,1,1,-1,0,0.20543093995900757,0.1881341400508235,111532
21,-1,0,-1,0,1,1,-1,0,0.1881341400508235,0.1739168239719471,116778
22,1,1,-1,0,-1,0,-1,0,0.1739168239719471,0.15867099758548805,122903
23,-1,0,-1,0,1,1,-1,0,0.15867099758548805,0.14386457641952693,129443
24,-1,0,1,1,-1,0,-1,0,0.14386457641952693,0.12543875908279087,138593
25,-1,0,-1,0,1,1,-1,0,0.12543875908279087,0.11820935283445183,142556
26,1,1,-1,0,-1,0,-1,0,0.11820935283445183,0.10736339869834717,148981
27,-1,0,1,1,-1,0,-1,0,0.10736339869834717,0.09397361902447046,157874
28,-1,0,-1,0,-1,0,1,1,0.09397361902447046,0.08533216932505737,164314
29,-1,0,1,1,-1,0,-1,0,0.08533216932505737,0.07552927737076785,172461
30,-1,0,1,1,-1,0,-1,0,0.07552927737076785,0.07161797664950542,176011
31,1,1,-1,0,-1,0,-1,0,0.07161797664950542,0.06486785107236931,182620
32,-1,0,-1,0,-1,0,1,1,0.06486785107236931,0.05981955179779782,188029
33,-1,0,-1,0,-1,0,1,1,0.05981955179779782,0.05349438890891585,195490
34,1,1,-1,0,-1,0,-1,0,0.05349438890891585,0.05,201288
35,1,1,-1,0,-1,0,-1,0,0.05,0.05,206822
36,1,1,-1,0,-1,0,-1,0,0.05,0.05,211040
37,-1,0,-1,0,1,1,-1,0,0.05,0.05,217531
38,-1,0,1,1,-1,0,-1,0,0.05,0.05,224888
39,-1,0,-1,0,1,1,-1,0,0.05,0.05,229680
40,-1,0,-1,0,-1,0,1,1,0.05,0.05,231802
41,-1,0,1,1,-1,0,-1,0,0.05,0.05,233879
42,1,1,-1,0,-1,0,-1,0,0.05,0.05,241793
43,-1,0,-1,0,1,1,-1,0,0.05,0.05,243638
44,-1,0,-1,0,-1,0,1,1,0.05,0.05,247772
45,-1,0,1,1,-1,0,-1,0,0.05,0.05,251662
46,1,1,-1,0,-1,0,-1,0,0.05,0.05,258868
47,-1,0,-1,0,-1,0,1,1,0.05,0.05,265194
48,-1,0,-1,0,1,1,-1,0,0.05,0.05,269511
49,-1,0,1,1,-1,0,-1,0,0.05,0.05,271369
